A,G,N1,N2,M,T
0.89,1.93,-24.1,5.3,509.0,22.6
0.9,1.99,-24.1,5.3,508.0,22.5
0.89,1.88,-24.0,5.8,508.0,22.5
0.89,1.93,-24.3,5.6,509.0,22.6
0.89,2.24,-23.8,5.7,509.0,22.6
0.9,1.74,-24.2,5.5,509.0,22.5
0.9,2.35,-24.5,5.6,508.0,22.6
0.89,1.9,-23.9,5.4,508.0,22.5
0.9,1.97,-24.1,5.9,509.0,22.5
0.9,1.97,-23.8,5.4,508.0,12.6
0.89,2.21,-24.1,5.6,509.0,22.6
0.91,1.95,-24.0,5.7,509.0,22.5
0.9,1.89,-24.1,5.4,508.0,22.5
0.9,2.1,-23.8,5.4,508.0,22.5
0.89,2.26,-24.1,6.0,509.0,22.6
0.89,2.26,-24.1,6.0,508.0,22.5
0.9,1.79,-24.3,5.4,509.0,22.5
0.9,2.22,-23.9,5.4,509.0,22.6
0.89,1.73,-24.2,5.9,508.0,22.6
0.89,1.0,-24.1,5.8,508.0,22.6
0.89,2.07,-23.9,5.9,508.0,22.6
0.89,1.88,-23.9,5.9,509.0,22.6
0.9,2.18,-24.2,5.9,509.0,22.6
0.89,2.1,-23.6,5.8,508.0,22.6
0.89,2.21,-23.9,5.8,509.0,22.6
0.9,1.75,-23.9,5.9,509.0,22.5
0.9,1.72,-23.7,5.6,509.0,22.5
0.89,1.8,-24.1,5.3,509.0,22.6
0.89,1.78,-24.1,5.5,509.0,22.6
0.9,1.86,-23.7,6.6,509.0,22.5
0.89,1.93,-24.2,5.6,589.0,22.5
0.9,1.89,-24.0,5.1,508.0,22.5
0.9,1.89,-24.3,6.0,508.0,22.5
0.9,1.88,-23.6,5.6,508.0,22.6
0.9,1.91,-24.0,5.6,508.0,22.5
0.89,2.01,-23.9,6.1,509.0,22.5
0.9,1.75,-23.5,6.3,509.0,22.6
0.89,1.93,-24.1,6.1,509.0,22.5
0.9,2.11,-23.9,6.0,509.0,22.6
0.9,2.11,-23.9,6.0,508.0,22.5
0.88,1.82,-24.2,6.0,509.0,22.6
0.89,2.25,-24.2,5.7,508.0,22.6
0.9,2.48,-23.7,7.3,509.0,22.6
0.9,3.76,-23.9,6.1,509.0,22.6
0.9,2.42,-24.7,5.6,509.0,22.5
0.9,2.51,-24.4,5.8,508.0,22.6
0.9,2.21,-24.1,5.8,508.0,22.5
0.9,2.15,-23.7,6.1,508.0,22.6
0.89,2.07,-24.3,6.1,509.0,22.6
0.89,3.4,-24.8,5.9,508.0,22.6
0.9,2.42,-24.5,5.2,509.0,22.6
0.9,1.77,-24.2,6.0,509.0,22.5
0.89,1.82,-24.6,5.9,509.0,22.6
0.9,2.03,-33.6,6.1,509.0,22.6
0.89,1.76,-24.0,5.6,509.0,22.6
0.89,1.97,-23.9,6.0,509.0,22.6
0.9,2.04,-24.2,5.8,509.0,22.6
0.9,2.07,-23.9,5.6,509.0,22.6
0.91,2.25,-23.6,5.9,509.0,22.6
0.89,1.94,-24.0,5.7,508.0,22.6
0.89,1.87,-24.0,5.6,509.0,22.5
0.89,1.99,-24.0,5.6,508.0,23.5
0.89,1.84,-24.5,5.9,509.0,22.5
0.9,1.78,-24.1,5.9,509.0,22.5
0.89,1.76,-23.6,5.8,509.0,22.6
0.9,2.41,-23.5,6.1,508.0,22.5
0.91,1.27,-24.2,5.5,508.0,22.5
0.9,2.97,-24.1,5.4,509.0,22.5
0.89,1.2,-23.7,5.8,509.0,22.5
0.9,1.73,-24.2,5.6,509.0,22.6
0.89,1.73,-24.3,5.8,509.0,22.5
0.89,1.73,-23.9,6.2,509.0,22.5
0.88,2.1,-24.0,6.1,509.0,22.5
0.9,2.19,-23.7,6.1,509.0,22.6
0.9,2.91,-24.3,5.8,509.0,22.6
0.88,1.8,-23.5,7.5,509.0,22.6
0.88,2.76,-23.6,5.8,509.0,22.6
0.9,1.32,-23.1,6.3,509.0,22.6
0.89,1.82,-24.1,6.1,509.0,22.6
0.89,2.15,-24.0,6.2,509.0,22.6
0.89,2.04,-23.8,6.3,509.0,22.6
0.9,1.92,-24.0,6.1,509.0,22.5
0.9,1.91,-23.8,6.0,509.0,22.6
0.9,1.71,-24.1,5.7,509.0,22.6
0.89,1.66,-23.7,6.1,509.0,22.5
0.9,1.97,-23.9,5.8,509.0,22.5
0.9,1.97,-23.8,6.1,509.0,22.5
0.9,2.04,-24.3,5.6,509.0,22.5
0.9,1.92,-24.1,6.1,509.0,22.5
0.9,2.14,-23.9,5.6,509.0,22.5
0.9,1.95,-23.6,6.2,509.0,22.5
0.89,1.79,-24.0,7.0,509.0,22.6
0.89,2.05,-24.5,5.6,509.0,22.5
0.89,1.91,-24.2,6.1,509.0,22.5
0.89,1.9,-24.1,6.0,508.0,22.5
0.9,2.27,-24.6,5.8,509.0,22.6
0.9,1.84,-23.9,6.3,509.0,22.6
0.89,1.97,-23.9,6.3,509.0,23.6
0.89,1.79,-23.8,5.8,509.0,22.6
0.89,1.89,-23.9,5.7,509.0,22.5
0.9,2.3,-23.7,6.1,509.0,22.5
0.9,2.02,-24.3,5.8,509.0,22.6
0.9,1.69,-23.9,5.8,509.0,22.6
0.89,0.57,-23.9,5.8,508.0,22.5
0.89,2.02,-23.9,6.1,509.0,22.5
0.89,2.55,-24.2,5.7,509.0,22.6
0.88,1.89,-24.2,5.7,509.0,22.6
0.9,2.01,-24.1,5.8,509.0,22.6
0.89,2.28,-24.0,5.7,509.0,22.5
0.89,1.78,-23.9,5.4,509.0,22.5
0.9,1.86,-23.9,5.7,509.0,22.5
0.8,1.78,-23.8,6.2,509.0,22.5
0.89,0.97,-24.0,6.4,509.0,22.5
0.9,2.13,-24.0,5.8,509.0,22.5
0.9,2.27,-24.4,5.6,509.0,22.5
0.9,2.07,-24.1,6.1,509.0,22.5
0.89,2.26,-24.7,5.8,509.0,22.5
0.89,1.49,-24.2,5.7,509.0,22.5
0.9,2.13,-24.1,5.7,509.0,22.6
0.9,1.72,-24.2,5.9,509.0,22.5
0.89,1.91,-24.3,6.2,509.0,22.5
0.89,2.09,-24.0,5.9,509.0,22.5
0.89,2.04,-23.7,6.2,509.0,22.5
0.89,1.91,-24.4,6.1,509.0,22.6
0.91,2.47,-24.4,6.1,509.0,22.6
0.89,1.9,-24.0,5.8,509.0,22.5
0.9,2.22,-23.6,6.7,509.0,22.6
0.88,2.08,-24.3,5.9,509.0,22.5
0.89,2.5,-23.8,6.2,509.0,22.5
0.88,2.5,-23.7,6.1,509.0,22.5
0.9,1.7,-24.1,5.3,509.0,22.6
0.9,1.7,-23.9,5.8,509.0,23.5
0.89,2.14,-23.8,5.8,509.0,22.6
0.89,1.97,-24.3,5.9,509.0,22.3
0.89,2.12,-24.3,5.8,509.0,22.6
0.9,1.81,-24.2,6.0,508.0,22.5
0.91,1.55,-23.6,5.7,509.0,22.6
0.89,1.93,-23.7,6.0,509.0,22.5
0.89,2.47,-23.8,5.7,509.0,22.5
0.89,1.78,-24.2,5.6,509.0,22.5
0.88,1.78,-23.8,6.2,509.0,23.6
0.9,1.84,-23.8,6.2,509.0,22.5
0.89,1.95,-24.1,5.7,509.0,22.6
0.89,2.16,-23.8,5.8,509.0,22.6
0.89,2.01,-23.9,5.7,509.0,22.6
0.9,1.54,-23.7,6.1,509.0,22.5
0.9,2.2,-23.9,5.6,509.0,22.5
0.9,3.22,-24.2,5.8,509.0,22.6
0.89,2.15,-23.8,5.8,509.0,22.5
0.89,2.45,-24.1,6.0,509.0,22.6
0.89,1.85,-33.9,5.9,509.0,22.6
0.88,2.35,-24.8,5.5,509.0,22.6
0.9,2.22,-22.2,6.2,509.0,22.6
0.9,1.51,-23.0,6.1,509.0,22.5
0.89,2.29,-23.3,5.8,509.0,22.5
0.75,18.31,-23.3,5.8,508.0,22.6
0.94,12.6,-14.9,6.2,509.0,22.6
0.8,12.66,-20.8,10.8,509.0,22.5
0.9,2.08,-21.1,6.0,508.0,22.6
0.89,2.02,-21.3,6.3,509.0,22.5
0.9,1.89,-21.4,6.1,509.0,22.6
0.89,1.82,-21.8,6.7,509.0,22.6
0.9,1.69,-21.8,6.3,509.0,22.6
0.9,1.81,-22.4,6.5,509.0,22.6
0.91,1.81,-21.9,6.2,508.0,22.6
0.91,1.64,-21.4,6.1,509.0,22.6
0.9,1.97,-22.5,6.2,508.0,22.5
0.89,2.36,-21.9,6.7,508.0,22.5
0.9,1.85,-22.5,6.1,509.0,22.5
0.9,2.3,-22.2,6.3,509.0,12.5
0.9,2.62,-22.6,6.1,509.0,22.6
0.89,2.0,-22.6,6.1,509.0,22.5
0.9,2.0,-22.3,6.5,509.0,22.5
0.9,1.5,-22.1,6.5,509.0,22.5
0.9,1.5,-21.9,6.4,509.0,22.5
0.9,2.14,-22.4,6.0,509.0,22.6
0.88,3.33,-22.7,6.2,509.0,22.6
0.9,1.78,-22.3,6.8,509.0,22.5
0.89,1.93,-22.6,6.9,509.0,22.6
0.9,1.88,-22.0,6.4,509.0,22.6
0.89,2.35,-22.6,7.0,509.0,22.5
0.91,2.05,-22.5,6.6,509.0,22.5
0.89,2.6,-22.7,6.4,509.0,22.6
0.89,1.9,-22.3,6.8,509.0,22.6
0.88,5.21,-21.7,7.8,589.0,22.6
0.9,2.52,-22.0,7.3,509.0,22.6
0.9,2.66,-22.8,6.8,509.0,22.6
0.89,2.18,-22.8,6.4,509.0,22.6
0.9,1.84,-22.8,6.4,509.0,22.6
0.9,2.04,-22.8,6.4,509.0,22.5
0.9,1.98,-22.6,7.1,509.0,22.6
0.9,1.8,-22.6,7.0,509.0,22.6
0.89,2.18,-22.9,7.1,509.0,22.6
0.89,2.17,-22.3,6.4,509.0,22.6
0.9,2.17,-22.9,7.0,509.0,22.6
0.89,1.64,-22.8,7.0,509.0,22.6
0.9,1.62,-22.6,6.6,509.0,22.6
0.9,1.87,-21.7,7.4,509.0,22.6
0.89,1.73,-21.7,7.4,509.0,22.6
0.89,2.02,-22.6,6.6,510.0,22.6
0.89,2.05,-22.7,6.9,509.0,22.5
0.89,1.91,-22.5,7.1,509.0,22.6
0.89,1.91,-22.3,6.5,509.0,22.6
