A,G,N1,N2,M,T
0.9,2.12,-9.9,19.5,508.0,22.7
0.9,2.03,-10.3,19.4,509.0,22.7
0.9,2.08,-10.0,18.8,508.0,22.7
0.91,1.91,-10.0,18.8,508.0,22.7
0.9,2.1,-10.0,18.8,508.0,22.7
0.9,1.96,-10.0,9.4,508.0,22.7
0.9,1.62,-9.8,19.2,509.0,22.7
0.89,2.01,-10.3,18.7,508.0,22.7
0.89,2.08,-10.2,19.3,508.0,22.7
0.9,1.88,-10.4,19.2,509.0,22.7
0.9,2.28,-10.2,19.0,508.0,22.7
0.9,2.28,-10.1,19.1,508.0,22.7
0.89,1.86,-10.6,18.9,508.0,22.7
0.91,1.76,-9.8,18.9,509.0,22.7
0.9,1.99,-9.8,18.9,508.0,22.7
0.9,1.96,-10.1,19.1,508.0,22.7
0.89,2.43,-10.1,19.2,508.0,22.7
0.9,2.03,-10.1,19.2,508.0,22.7
0.9,2.05,-10.0,19.3,509.0,22.7
0.91,2.25,-10.3,19.4,508.0,32.7
0.9,2.07,-9.8,19.3,509.0,22.7
0.9,2.0,-10.2,18.9,508.0,22.6
0.89,2.1,-10.2,18.9,508.0,22.7
0.89,1.83,-10.2,18.9,508.0,22.7
0.9,1.63,-10.0,18.9,508.0,22.7
0.89,1.99,-10.8,18.7,509.0,22.7
0.89,1.95,-9.9,19.3,509.0,22.7
0.9,1.95,-10.2,9.1,508.0,22.7
0.9,1.9,-10.0,18.7,509.0,22.7
0.9,1.9,-9.9,19.2,508.0,22.7
0.89,1.9,-10.6,19.3,508.0,22.7
0.9,2.12,-9.9,19.2,508.0,22.7
0.9,1.91,-10.2,19.2,508.0,22.7
0.89,2.18,-10.4,18.7,509.0,22.7
0.9,2.02,-10.1,18.7,508.0,22.7
0.9,1.94,-10.5,19.0,509.0,22.7
0.9,1.7,-9.9,18.9,509.0,22.7
0.9,2.1,-9.9,18.9,508.0,22.7
0.9,1.82,-10.1,19.3,508.0,22.7
0.89,1.88,-10.1,19.3,508.0,22.7
0.89,2.55,-10.1,19.3,509.0,22.7
0.91,2.31,-9.9,19.0,508.0,22.7
0.9,1.86,-10.0,18.7,509.0,22.7
0.89,2.17,-10.1,19.2,509.0,22.7
0.9,1.84,-10.1,19.2,509.0,22.7
0.89,2.23,-10.2,19.2,508.0,22.7
0.9,2.09,-10.3,19.7,509.0,22.7
0.9,2.16,-10.5,19.2,508.0,22.7
0.9,2.0,-10.5,19.2,508.0,22.7
0.9,1.69,-10.0,18.8,508.0,22.7
0.91,2.1,-10.3,18.9,508.0,22.7
0.89,2.22,-10.1,19.5,509.0,22.7
0.91,1.6,-9.9,19.2,508.0,22.7
0.91,2.25,-9.8,19.1,509.0,22.7
0.9,2.02,-9.8,19.1,509.0,22.7
0.9,1.92,-9.7,18.9,508.0,22.7
0.89,2.15,-9.7,18.9,508.0,22.7
0.9,2.44,-10.2,19.2,508.0,22.7
0.9,1.76,-9.8,19.3,509.0,22.7
0.9,2.09,-10.0,19.1,508.0,22.7
0.9,2.12,-10.2,19.2,508.0,22.7
0.89,1.97,-9.7,19.3,508.0,22.6
0.9,1.97,-10.0,19.4,509.0,22.7
0.9,1.97,-10.3,19.0,508.0,22.7
0.9,2.56,-10.2,19.3,509.0,22.7
0.9,2.11,-10.1,18.9,508.0,22.7
0.91,1.69,-10.1,18.9,508.0,22.7
0.91,2.11,-9.9,19.2,509.0,22.7
0.9,1.85,-10.4,19.6,508.0,22.7
0.9,2.0,-9.8,19.1,509.0,22.7
0.9,2.15,-10.4,18.6,508.0,22.7
0.9,1.59,-10.1,18.9,509.0,22.7
0.9,1.93,-10.2,19.1,508.0,22.7
0.9,1.65,-10.3,19.0,508.0,22.7
0.9,1.77,-9.7,19.0,508.0,22.6
0.9,1.71,-10.1,19.1,508.0,22.7
0.9,1.81,-10.0,19.4,508.0,22.7
0.88,1.82,-10.1,19.3,508.0,22.7
0.89,2.1,-10.1,19.3,508.0,22.7
0.89,2.06,-9.9,19.7,508.0,22.6
0.9,1.94,-9.9,19.7,509.0,22.7
0.91,2.06,-10.0,19.2,508.0,22.7
0.9,1.97,-10.0,19.5,508.0,22.7
0.91,1.94,-10.2,19.1,508.0,22.7
0.9,1.94,-10.0,18.8,509.0,22.7
0.9,1.78,-10.1,18.9,509.0,22.7
0.9,2.03,-10.2,19.2,508.0,22.6
0.9,1.95,-10.1,18.9,509.0,22.7
0.9,2.02,-10.1,18.7,508.0,22.7
0.9,2.01,-10.3,19.1,509.0,22.7
0.89,1.79,-10.3,18.9,509.0,22.7
0.89,1.94,-10.3,19.3,508.0,22.7
0.89,2.07,-10.4,19.1,509.0,22.7
0.91,2.07,-10.2,19.3,508.0,32.7
0.91,2.11,-10.1,19.1,509.0,22.7
0.9,1.93,-10.1,19.5,508.0,22.7
0.9,2.0,-10.1,18.9,508.0,22.6
0.9,1.81,-9.8,19.0,508.0,22.6
0.9,1.94,-9.8,19.0,508.0,22.7
0.89,1.89,-9.8,19.0,508.0,22.7
0.9,2.05,-10.0,18.7,509.0,22.6
0.89,2.05,-10.1,19.4,508.0,22.6
0.9,2.06,-10.2,19.2,508.0,22.6
0.9,2.09,-10.0,19.2,408.0,22.7
0.89,2.11,-10.3,19.2,508.0,22.7
0.9,1.93,-10.2,18.8,508.0,22.6
0.9,1.88,-10.5,19.0,508.0,22.7
0.89,2.02,-10.3,19.4,509.0,22.7
0.9,2.0,-10.3,19.4,508.0,22.6
0.9,1.8,-10.3,19.3,508.0,22.6
0.9,1.97,-10.3,19.3,509.0,22.7
0.91,1.74,-10.0,19.2,509.0,22.6
0.9,1.97,-9.9,19.1,508.0,22.6
0.89,1.97,-10.6,19.1,508.0,22.7
0.89,1.94,-10.2,19.2,508.0,22.7
0.9,1.79,-10.1,19.4,509.0,22.7
0.9,1.91,-10.6,18.9,509.0,22.7
0.91,2.15,-10.0,19.2,508.0,22.7
0.88,6.3,-9.4,19.5,508.0,22.7
0.89,6.3,-10.5,18.9,509.0,22.7
0.91,1.82,-10.2,18.7,509.0,22.6
0.9,1.75,-10.2,19.0,508.0,22.6
0.9,2.11,-10.2,19.0,509.0,22.7
0.9,1.9,-9.8,18.7,508.0,22.6
0.9,1.79,-10.1,19.3,509.0,22.6
0.9,2.02,-10.4,19.6,508.0,22.6
0.9,2.13,-9.5,19.0,508.0,22.6
0.9,2.04,-10.3,19.2,508.0,22.7
0.89,1.11,-10.1,19.3,508.0,22.6
0.89,2.02,-10.3,19.3,508.0,22.6
0.9,1.97,-10.3,19.3,508.0,22.6
0.89,1.97,-9.9,19.1,508.0,22.6
0.9,1.99,-10.2,19.3,509.0,22.6
0.9,1.92,-10.5,19.3,508.0,22.6
0.89,2.06,-10.0,19.0,509.0,22.7
0.9,1.88,-10.2,18.7,508.0,22.6
0.9,1.99,-0.1,19.1,508.0,22.6
0.9,2.0,-10.4,18.9,508.0,22.6
0.89,2.06,-10.3,19.0,508.0,22.6
0.89,1.98,-9.6,19.5,509.0,22.6
0.9,1.77,-9.9,19.1,509.0,22.7
0.89,1.99,-10.1,19.1,509.0,22.6
0.89,2.3,-10.1,18.6,509.0,22.7
0.9,2.05,-10.3,18.8,508.0,22.6
0.9,2.05,-10.6,18.8,509.0,22.6
0.9,2.05,-10.6,18.8,508.0,22.6
0.89,1.94,-10.6,18.8,509.0,22.6
0.89,2.07,-10.2,19.0,508.0,22.7
0.91,2.06,-10.2,18.7,508.0,22.6
0.89,2.09,-10.2,18.7,508.0,22.6
0.9,1.6,-10.4,19.0,508.0,22.6
0.9,2.01,-10.2,19.2,508.0,22.6
0.91,1.81,-9.6,18.8,508.0,22.6
0.9,1.97,-9.5,18.8,508.0,22.7
0.9,2.12,-10.4,18.6,508.0,22.6
0.89,1.74,-9.7,19.5,508.0,22.6
0.9,1.54,-9.7,19.3,509.0,22.6
0.9,2.6,-10.5,18.9,509.0,22.6
0.9,1.6,-10.3,19.1,508.0,22.6
0.9,1.29,-10.4,19.3,508.0,22.6
0.89,2.03,-10.7,19.0,508.0,22.6
0.9,1.87,-10.4,18.9,508.0,22.6
0.9,1.79,-10.2,18.9,508.0,22.6
0.9,1.73,-10.0,19.1,508.0,22.7
0.89,1.86,-10.1,19.6,508.0,22.6
0.9,1.52,-10.5,19.4,508.0,22.6
0.89,1.98,-10.1,19.5,508.0,22.6
0.89,1.98,-10.1,19.5,508.0,22.6
0.9,1.9,-10.1,19.1,508.0,22.6
0.91,1.9,-10.2,18.9,509.0,22.6
0.89,1.77,-10.5,18.9,508.0,22.6
0.9,1.77,-10.5,18.9,508.0,22.6
0.9,2.25,-10.1,19.4,509.0,22.6
0.91,2.4,-9.5,19.4,509.0,22.6
0.91,2.18,-9.8,19.1,509.0,22.6
0.9,1.98,-10.7,18.7,509.0,22.6
0.89,2.16,-9.8,19.0,509.0,22.6
0.9,2.15,-9.8,19.0,509.0,22.6
0.89,2.15,-10.1,19.4,508.0,22.6
0.91,1.6,-10.1,19.4,509.0,22.6
0.89,2.17,-10.1,19.5,508.0,22.6
0.9,2.17,-9.6,19.4,508.0,22.6
0.89,2.55,-9.6,19.4,510.0,22.6
0.9,2.12,-10.3,19.6,508.0,22.6
0.9,1.92,-10.2,19.0,509.0,22.6
0.89,2.24,-10.2,19.2,509.0,22.6
0.9,2.23,-10.3,18.8,509.0,22.6
0.89,1.88,-10.5,18.6,509.0,22.6
0.9,2.38,-10.0,18.5,509.0,22.6
0.89,6.19,-12.0,17.4,509.0,22.6
0.9,1.63,-10.3,18.6,509.0,22.6
0.92,1.76,-10.3,18.6,509.0,22.6
0.9,1.32,-10.3,19.3,509.0,22.6
0.9,2.2,-10.4,18.9,508.0,22.6
0.9,2.04,-10.5,18.5,508.0,22.6
0.89,2.07,-10.4,18.7,508.0,22.6
0.89,1.85,-10.5,18.7,508.0,22.6
0.9,2.72,-9.8,18.9,509.0,22.6
0.9,1.95,-10.2,18.2,509.0,22.6
0.89,2.18,-10.3,19.6,509.0,22.6
0.9,1.84,-10.3,19.6,508.0,22.6
0.91,2.02,-9.8,19.2,509.0,22.6
0.89,2.0,-9.8,19.2,509.0,22.6
0.9,1.79,-10.2,18.7,409.0,22.6
0.89,2.25,-10.1,18.9,509.0,22.6
